YEAR,QUARTER,WEEK,GEOGRAPHY,MARKET,SECTOR,INDUSTRY,UT30_NAME,ACCOUNT_TYPE,SIGNINGS_AMT,PRACTICE,DEAL_SIZE,CLIENT_NAME,SIGNINGS_AMT_PY,SIGNINGS_AMT_PPY,COUNTRY,BRANCH,UT15_NAME,UT17_NAME,UT20_NAME,MONTH
2023,2,4,Americas,US Financial,US Financial,Select BPS-T,"AI Integration Services (with IBM, AWS)",Unassigned,0.0,Enterprise Strategy & Industry,<10M,GREATAMERICA FINANCIAL SERVICES,,,,,Strategy & Technology,Hybrid Cloud & Data,"AI Integration Services (with IBM, AWS, Microsoft)",1
2023,3,4,UKI,UKI Communications,UKI ENU (wo NG),Select BPS-T,"App Mig and Modern (not AWS, Microsoft) OA",FOUNDATION,44417.0,Migration & Modernization,<10M,SCOTIA GAS NETWORKS LTD,,,,,Strategy & Technology,Hybrid Cloud & Data,"Application Migration and Modernization (not AWS, Microsoft)",1
2023,3,10,Japan,JP Top,JP Other,Unassigned,Cloud Platform Engineering Services - Other,Unassigned,0.0,Japan Joint Ventures,<10M,"U-CAN HOLDINGS COMPANY, INC.",,,,,Intelligent Operations,Application Operations,Cloud Platform Engineering Services,3
2023,4,9,Americas,Canada,Canada PUB,Government,ORACLE,TARGET PREMIER,-65334.0,Oracle,<10M,BC GOVERNMENT/MINISTRIES,,,,,Strategy & Technology,Business Applications,Business Transformation with Oracle,2
2023,4,7,Japan,JP Top,JP Other,Unassigned,Cloud Platform Engineering Services - Other,Unassigned,0.0,Japan Joint Ventures,<10M,"TANEYA CO., LTD.",,,,,Intelligent Operations,Application Operations,Cloud Platform Engineering Services,2
2023,3,5,Americas,US Financial,US Financial,Finance Markets,ORACLE,TARGET PREMIER,0.0,Oracle,<10M,"GOLDMAN SACHS GROUP, INC",,,,,Strategy & Technology,Business Applications,Business Transformation with Oracle,1
2023,1,13,Americas,US Communications & Industrial,US Communications & Industrial,Select Client,WORKDAY,Unassigned,0.0,Workday,<10M,PILOT TRAVEL CENTERS LLC,,,,,Strategy & Technology,Business Applications,HR Technology,3
2023,4,4,Americas,US Communications & Industrial,US Communications & Industrial,Digital Squads,ADOBE,Unassigned,0.0,Adobe,<10M,SESAME WORKSHOP,,,,,Strategy & Technology,Business Applications,Marketing Transformation,1
2023,4,5,Americas,US Federal,US Federal,Unassigned,SALESFORCE,Unassigned,-0.21,,<10M,Unassigned,,,,,Strategy & Technology,Business Applications,Business Transformation with Salesforce,1
2023,4,13,Rest of EMEA,DACH,DE FSS,Banking,IBM Cyber Threat Management Other,FOUNDATION CLUSTER,0.0,Cyber Threat Management,<10M,HELABA,,,,,Intelligent Operations,Cybersecurity,IBM Cyber Threat Management,3
2023,1,11,Japan,JP Top,JP Other,Unassigned,Custom Application Management Services OA,Unassigned,0.0,Custom Application Operations,<10M,NORITZ CORPORATION,,,,,Intelligent Operations,Application Operations,Custom Application Management Services,3
2023,4,10,Rest of EMEA,Italy,Italy Commercial,Select BPS-T,AMS for SAP Apps,FOUNDATION CLUSTER,0.0,SAP Application Operations,<10M,API,,,,,Intelligent Operations,Application Operations,Application Management Services for SAP Applications,3
